CustomerID,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,Gender,Timestamp,Salary
61,Mr.,Jeffrey,,Kurtz,,Many Bikes Store,adventure-works\\shu0,jeffrey3@adventure-works.com,452-555-0179,F,2022-11-16-09:51:40,20040
64,Mr.,Vamsi,,Kuppa,,Metal Clearing House,adventure-works\\josé1,vamsi1@adventure-works.com,290-555-0196,F,2022-11-16-09:51:41,20041
65,Ms.,Jane,P.,Greer,,Metro Manufacturing,adventure-works\\josé1,jane2@adventure-works.com,737-555-0163,F,2022-11-16-09:51:42,20042
66,Mr.,Alexander,J.,Deborde,,Neighborhood Store,adventure-works\\garrett1,alexander1@adventure-works.com,394-555-0176,F,2022-11-16-09:51:43,20043
70,Mr.,Deepak,,Kumar,,Outdoor Aerobic Systems Company,adventure-works\\jae0,deepak0@adventure-works.com,1 (11) 500 555-0122,F,2022-11-16-09:51:44,20044
73,Ms.,Margaret,T.,Krupka,,Outdoor Sports Supply,adventure-works\\pamela0,margaret1@adventure-works.com,107-555-0132,F,2022-11-16-09:51:45,20045
74,Mr.,Christopher,M.,Bright,,Parcel Express Delivery Service,adventure-works\\david8,christopher2@adventure-works.com,162-555-0166,F,2022-11-16-09:51:46,20046
75,Ms.,Aidan,,Delaney,,Paint Supply,adventure-works\\jillian0,aidan0@adventure-works.com,358-555-0188,F,2022-11-16-09:51:47,20047
76,Mr.,James,J.,Krow,,Out-of-the-Way Hotels,adventure-works\\jillian0,james11@adventure-works.com,265-555-0190,F,2022-11-16-09:51:48,20048
77,Mr.,Michael,,Brundage,,Mechanical Products Ltd.,adventure-works\\shu0,michael13@adventure-works.com,128-555-0148,F,2022-11-16-09:51:49,20049
78,Mr.,Stefan,,Delmarco,,Preferred Bikes,adventure-works\\linda3,stefan0@adventure-works.com,819-555-0186,F,2022-11-16-09:51:50,20050
79,Mr.,Mitch,,Kennedy,,Reasonable Bicycle Sales,adventure-works\\shu0,mitch0@adventure-works.com,996-555-0192,M,2022-11-16-09:51:51,20051
82,Mr.,James,D.,Kramer,,Refined Department Stores,adventure-works\\josé1,james10@adventure-works.com,814-555-0130,M,2022-11-16-09:51:52,20052
83,Mr.,Eric,J.,Brumfield,,Requisite Part Supply,adventure-works\\josé1,eric3@adventure-works.com,644-555-0114,M,2022-11-16-09:51:53,20053
84,Ms.,Della,F.,Demott Jr,,Rewarding Activities Company,adventure-works\\garrett1,della0@adventure-works.com,752-555-0185,M,2022-11-16-09:51:54,20054
88,Ms.,Pamala,M.,Kotc,,Closest Bicycle Store,adventure-works\\jae0,pamala0@adventure-works.com,1 (11) 500 555-0173,M,2022-11-16-09:51:55,20055
91,Ms.,Joy,R.,Koski,,Scooters and Bikes Store,adventure-works\\pamela0,joy0@adventure-works.com,810-555-0198,M,2022-11-16-09:51:56,20056
92,Ms.,Jovita,A.,Carmody,,Sports Commodities,adventure-works\\david8,jovita0@adventure-works.com,646-555-0137,M,2022-11-16-09:51:57,20057
93,Mr.,Prashanth,,Desai,,Stationary Bikes and Stands,adventure-works\\jillian0,prashanth0@adventure-works.com,138-555-0156,M,2022-11-16-09:51:58,20058
94,Mr.,Scott,,Konersmann,,Specialty Sports Store,adventure-works\\jillian0,scott6@adventure-works.com,556-555-0192,M,2022-11-16-09:51:59,20059
95,Ms.,Jane,N.,Carmichael,,Rural Department Store,adventure-works\\shu0,jane0@adventure-works.com,716-555-0167,M,2022-11-16-09:51:60,20060
96,Ms.,Bonnie,B.,Lepro,,More Bikes!,adventure-works\\linda3,bonnie2@adventure-works.com,354-555-0130,M,2022-11-16-09:51:61,20061
97,Mr.,Eugene,,Kogan,,Mountain Bike Center,adventure-works\\shu0,eugene2@adventure-works.com,136-555-0134,M,2022-11-16-09:51:62,20062
100,Mr.,Kirk,T,King,,Up-To-Date Sports,adventure-works\\josé1,kirk2@adventure-works.com,979-555-0163,M,2022-11-16-09:51:63,20063
101,Mr.,William,J.,Conner,,Urban Sports Emporium,adventure-works\\josé1,william1@adventure-works.com,383-555-0111,M,2022-11-16-09:51:64,20064
102,Ms.,Linda,,Leste,,National Manufacturing,adventure-works\\garrett1,linda7@adventure-works.com,493-555-0134,M,2022-11-16-09:51:65,20065
106,Ms.,Andrea,A.,Thomsen,,West Side Mart,adventure-works\\jae0,andrea1@adventure-works.com,1 (11) 500 555-0120,M,2022-11-16-09:51:66,20066
109,Mr.,Daniel,P.,Thompson,,Travel Sports,adventure-works\\pamela0,daniel2@adventure-works.com,247-555-0197,M,2022-11-16-09:51:67,20067
110,Ms.,Kendra,N.,Thompson,,Vintage Sport Boutique,adventure-works\\david8,kendra0@adventure-works.com,464-555-0188,M,2022-11-16-09:51:68,20068
111,Mr.,Scott,A.,Colvin,,Westside Cycle Store,adventure-works\\jillian0,scott1@adventure-works.com,119-555-0144,M,2022-11-16-09:51:69,20069
112,Ms.,Elsie,L.,Lewin,,Town Industries,adventure-works\\jillian0,elsie0@adventure-works.com,803-555-0116,M,2022-11-16-09:51:70,20070
113,Mr.,Donald,M.,Thompson,,Trendy Department Stores,adventure-works\\shu0,donald1@adventure-works.com,273-555-0111,M,2022-11-16-09:51:71,20071
114,Mr.,John,L.,Colon,,Two Wheels Cycle Store,adventure-works\\linda3,john14@adventure-works.com,397-555-0144,M,2022-11-16-09:51:72,20072
115,Mr.,George,Z.,Li,,Security Racks and Locks Wholesalers,adventure-works\\shu0,george3@adventure-works.com,699-555-0183,M,2022-11-16-09:51:73,20073
118,Mr.,Yale,,Li,,Rapid Bikes,adventure-works\\josé1,yale0@adventure-works.com,316-555-0138,M,2022-11-16-09:51:74,20074
119,Ms.,Phyllis,A.,Thomas,,Red Bicycle Company,adventure-works\\josé1,phyllis2@adventure-works.com,667-555-0112,M,2022-11-16-09:51:75,20075
120,Mr.,Pat,,Coleman,,Machines & Cycles Store,adventure-works\\garrett1,pat2@adventure-works.com,292-555-0128,F,2022-11-16-09:51:76,20076
124,Ms.,Yuhong,,Li,,Nearby Sporting Goods,adventure-works\\jae0,yuhong1@adventure-works.com,1 (11) 500 555-0176,F,2022-11-16-09:51:77,20077
127,Mr.,Joseph,M.,Lique,,Front Sporting Goods,adventure-works\\pamela0,joseph2@adventure-works.com,119-555-0195,F,2022-11-16-09:51:78,20078
128,Ms.,Judy,J.,Thames,,Demand Distributors,adventure-works\\david8,judy3@adventure-works.com,799-555-0118,F,2022-11-16-09:51:79,20079
129,Ms.,Connie,L.,Coffman,,Discount Bicycle Specialists,adventure-works\\jillian0,connie0@adventure-works.com,426-555-0181,F,2022-11-16-09:51:80,20080
130,Mr.,Paulo,H.,Lisboa,,Elite Bikes,adventure-works\\jillian0,paulo0@adventure-works.com,380-555-0116,F,2022-11-16-09:51:81,20081
131,Ms.,Vanessa,J.,Tench,,Eighth Bike Store,adventure-works\\shu0,vanessa0@adventure-works.com,785-555-0163,F,2022-11-16-09:51:82,20082
132,Ms.,Teanna,M.,Cobb,,Another Sporting Goods Company,adventure-works\\linda3,teanna0@adventure-works.com,661-555-0168,F,2022-11-16-09:51:83,20083
133,Mr.,Michael,,Graff,,Commercial Sporting Goods,adventure-works\\shu0,michael16@adventure-works.com,132-555-0150,F,2022-11-16-09:51:84,20084
136,Mr.,Derek,,Graham,,Wholesale Parts,adventure-works\\josé1,derek0@adventure-works.com,674-555-0187,F,2022-11-16-09:51:85,20085
137,,Gytis,M,Barzdukas,,Transportation Options,adventure-works\\josé1,gytis0@adventure-works.com,257-555-0119,F,2022-11-16-09:51:86,20086
138,Ms.,Jane,,Clayton,,South Bike Company,adventure-works\\garrett1,jane1@adventure-works.com,206-555-0195,F,2022-11-16-09:51:87,20087
142,Mr.,Jon,,Grande,,Riding Cycles,adventure-works\\jae0,jon1@adventure-works.com,1 (11) 500 555-0114,F,2022-11-16-09:51:88,20088
145,Mr.,Ted,,Bremer,,Raw Materials Inc,adventure-works\\pamela0,ted0@adventure-works.com,962-555-0166,F,2022-11-16-09:51:89,20089
146,Mr.,Richard,,Bready,,Latest Sports Equipment,adventure-works\\david8,richard1@adventure-works.com,340-555-0131,F,2022-11-16-09:51:90,20090
147,Ms.,Alice,,Clark,,Local Hardware Factory,adventure-works\\jillian0,alice1@adventure-works.com,221-555-0141,F,2022-11-16-09:51:91,20091
148,Mr.,Alan,,Brewer,,Lots of Bikes Storehouse,adventure-works\\jillian0,alan1@adventure-works.com,494-555-0134,F,2022-11-16-09:51:92,20092
149,Mr.,Cornelius,L.,Brandon,,Initial Bike Company,adventure-works\\shu0,cornelius0@adventure-works.com,229-555-0114,F,2022-11-16-09:51:93,20093
150,Ms.,Jill,J.,Christie,,Fleet Bikes,adventure-works\\linda3,jill1@adventure-works.com,927-555-0198,F,2022-11-16-09:51:94,20094
151,Mr.,Walter,J.,Brian,IV,Futuristic Bikes,adventure-works\\shu0,walter0@adventure-works.com,163-555-0155,F,2022-11-16-09:51:95,20095
154,Mr.,Carlton,M.,Carlisle,,Camping and Sports Store,adventure-works\\josé1,carlton0@adventure-works.com,193-555-0116,F,2022-11-16-09:51:96,20096
155,Mr.,Joseph,N.,Castellucio,,Corner Bicycle Supply,adventure-works\\josé1,joseph1@adventure-works.com,180-555-0114,F,2022-11-16-09:51:97,20097
156,Mr.,Lester,J.,Bowman,Sr.,Metal Processing Company,adventure-works\\garrett1,lester0@adventure-works.com,844-555-0112,F,2022-11-16-09:51:98,20098
160,Ms.,Brigid,F.,Cavendish,,Vigorous Sports Store,adventure-works\\jae0,brigid0@adventure-works.com,1 (11) 500 555-0178,F,2022-11-16-09:51:99,20099
163,Mr.,Andrew,,Cencini,,Sports Merchandise,adventure-works\\pamela0,andrew2@adventure-works.com,644-555-0111,F,2022-11-16-09:51:100,20100
164,Ms.,Cindy,M.,Dodd,,Suburban Cycle Shop,adventure-works\\david8,cindy0@adventure-works.com,706-555-0140,F,2022-11-16-09:51:101,20101
165,Mr.,Randall,,Boseman,,Third Bike Store,adventure-works\\jillian0,randall0@adventure-works.com,383-555-0117,F,2022-11-16-09:51:102,20102
166,Ms.,Stacey,M.,Cereghino,,Fitness Toy Store,adventure-works\\jillian0,stacey0@adventure-works.com,351-555-0131,F,2022-11-16-09:51:103,20103
167,Mr.,Blaine,,Dockter,,Farthermost Bike Shop,adventure-works\\shu0,blaine0@adventure-works.com,156-555-0187,F,2022-11-16-09:51:104,20104
168,Sr.,Luis,,Bonifaz,,Economy Bikes Company,adventure-works\\linda3,luis0@adventure-works.com,688-555-0113,F,2022-11-16-09:51:105,20105
169,Ms.,Brenda,,Diaz,,Downtown Hotel,adventure-works\\shu0,brenda2@adventure-works.com,147-555-0192,F,2022-11-16-09:51:106,20106
172,Ms.,Gabriele,,Dickmann,,Certified Sports Supply,adventure-works\\josé1,gabriele0@adventure-works.com,835-555-0116,F,2022-11-16-09:51:107,20107
173,Mr.,Rudolph,J.,Dillon,Sr.,Sundry Sporting Goods,adventure-works\\josé1,rudolph0@adventure-works.com,722-555-0169,F,2022-11-16-09:51:108,20108
174,Mr.,Michael,L.,Bohling,,Toy Manufacturing Inc,adventure-works\\garrett1,michael12@adventure-works.com,838-555-0147,F,2022-11-16-09:51:109,20109
178,Mr.,Dick,,Dievendorff,,Rampart Amusement Company,adventure-works\\jae0,dick1@adventure-works.com,1 (11) 500 555-0193,F,2022-11-16-09:51:110,20110
180,Ms.,Nicky,E.,Chesnut,,Full-Service Bike Store,adventure-works\\michael9,nicky0@adventure-works.com,264-555-0164,F,2022-11-16-09:51:111,20111
181,Mr.,Michael,J.,Lee,,Family Entertainment Center,adventure-works\\pamela0,michael18@adventure-works.com,396-555-0139,F,2022-11-16-09:51:112,20112
182,Mr.,Stanley,A.,Alan,Jr.,Another Bicycle Company,adventure-works\\david8,stanley0@adventure-works.com,156-555-0126,F,2022-11-16-09:51:113,20113
183,Mr.,Yao-Qiang,,Cheng,,This Area Sporting Goods,adventure-works\\jillian0,yao-qiang0@adventure-works.com,344-555-0181,F,2022-11-16-09:51:114,20114
184,Ms.,Marjorie,M.,Lee,,Go-cart and Bike Specialists,adventure-works\\jillian0,marjorie0@adventure-works.com,306-555-0166,F,2022-11-16-09:51:115,20115
185,Mr.,Sandeep,,Kaliyath,,Weekend Bike Tours,adventure-works\\shu0,sandeep1@adventure-works.com,495-555-0113,F,2022-11-16-09:51:116,20116
186,Mr.,Pei,,Chow,,Thrilling Bike Tours,adventure-works\\linda3,pei0@adventure-works.com,789-555-0184,F,2022-11-16-09:51:117,20117
187,Mr.,Frank,,Campbell,,Trailblazing Sports,adventure-works\\shu0,frank4@adventure-works.com,491-555-0132,F,2022-11-16-09:51:118,20118
190,Mr.,Mark,,Lee,,Racing Partners,adventure-works\\josé1,mark5@adventure-works.com,371-555-0112,F,2022-11-16-09:51:119,20119
191,Ms.,Sandra,T.,Kitt,,Non-Slip Pedal Company,adventure-works\\josé1,sandra2@adventure-works.com,303-555-0117,F,2022-11-16-09:51:120,20120
192,Mr.,Hao,,Chen,,Nuts and Bolts Mfg.,adventure-works\\garrett1,hao1@adventure-works.com,117-555-0173,F,2022-11-16-09:51:121,20121
196,Ms.,Jolie,,Lenehan,,Exhibition Showroom,adventure-works\\jae0,jolie0@adventure-works.com,1 (11) 500 555-0126,F,2022-11-16-09:51:122,20122
197,Ms.,Diane,F.,Krane,,Fabrikam Inc.,,,,F,2022-11-16-09:51:123,20123
198,Mr.,Payton,P.,Benson,,Field Trip Inc,adventure-works\\michael9,payton0@adventure-works.com,528-555-0183,F,2022-11-16-09:51:124,20124
199,Mr.,Roger,,Lengel,,Authorized Bike Sales and Rental,adventure-works\\pamela0,roger1@adventure-works.com,947-555-0143,F,2022-11-16-09:51:125,20125
200,Ms.,Peggy,J.,Justice,,Basic Bike Company,adventure-works\\david8,peggy0@adventure-works.com,170-555-0189,F,2022-11-16-09:51:126,20126
201,Ms.,Edna,J.,Benson,,Unsurpassed Bikes,adventure-works\\jillian0,edna0@adventure-works.com,789-555-0189,F,2022-11-16-09:51:127,20127
203,Ms.,Jean,,Jordan,,Separate Parts Corporation,adventure-works\\shu0,jean3@adventure-works.com,207-555-0129,F,2022-11-16-09:51:128,20128
204,Mr.,Ido,,Ben-Sachar,,Traction Tire Company,adventure-works\\linda3,ido0@adventure-works.com,973-555-0112,F,2022-11-16-09:51:129,20129
205,Mr.,Frank,,Mart¡nez,,Rally Master Company Inc,adventure-works\\shu0,frank5@adventure-works.com,171-555-0147,F,2022-11-16-09:51:130,20130
208,Mr.,Steve,,Masters,,Professional Cyclists,adventure-works\\josé1,steve2@adventure-works.com,154-555-0115,F,2022-11-16-09:51:131,20131
209,Mr.,Robert,E.,Jones,,Purple Bicycle Company,adventure-works\\josé1,robert6@adventure-works.com,595-555-0131,F,2022-11-16-09:51:132,20132
210,Mr.,Josh,,Barnhill,,Gasless Cycle Shop,adventure-works\\garrett1,josh0@adventure-works.com,584-555-0192,F,2022-11-16-09:51:133,20133
214,Ms.,Jennifer,J.,Maxham,,Exclusive Bicycle Mart,adventure-works\\jae0,jennifer1@adventure-works.com,1 (11) 500 555-0175,F,2022-11-16-09:51:134,20134
217,Mr.,Chris,,Maxwell,,City Manufacturing,adventure-works\\pamela0,chris6@adventure-works.com,642-555-0187,F,2022-11-16-09:51:135,20135
218,Mr.,David,,Johnson,,Sure & Reliable Sporting Goods,adventure-works\\david8,david18@adventure-works.com,476-555-0139,F,2022-11-16-09:51:136,20136
219,Mr.,Brian,,Johnson,,Extras Sporting Goods,adventure-works\\jillian0,brian6@adventure-works.com,320-555-0134,F,2022-11-16-09:51:137,20137
220,Mr.,Robert,,Brown,,Best o' Bikes,adventure-works\\jillian0,robert5@adventure-works.com,575-555-0189,F,2022-11-16-09:51:138,20138
221,Ms.,Sandra,B.,Maynard,,Bike Dealers Association,adventure-works\\shu0,sandra4@adventure-works.com,993-555-0179,F,2022-11-16-09:51:139,20139
222,Mr.,Barry,,Johnson,,Sample Bike Store,adventure-works\\linda3,barry1@adventure-works.com,858-555-0140,F,2022-11-16-09:51:140,20140
223,Ms.,Joyce,,Jarvis,,Paints and Solvents Company,adventure-works\\shu0,joyce0@adventure-works.com,458-555-0179,F,2022-11-16-09:51:141,20141
226,Ms.,Vance,P.,Johns,,Leisure Activities,adventure-works\\josé1,vance0@adventure-works.com,103-555-0151,F,2022-11-16-09:51:142,20142
227,Ms.,Robin,M.,McGuigan,,Health Spa,,,,F,2022-11-16-09:51:143,20143
228,Ms.,Danielle,B.,Johnson,,Home Town Bike Store,adventure-works\\garrett1,danielle1@adventure-works.com,356-555-0190,F,2022-11-16-09:51:144,20144
232,Mr.,David,,Jaffe,,Exceptional Cycle Services,adventure-works\\jae0,david17@adventure-works.com,1 (11) 500 555-0140,F,2022-11-16-09:51:145,20145
235,Ms.,Mary,,Alexander,,Certified Bicycle Supply,adventure-works\\pamela0,mary7@adventure-works.com,344-555-0133,F,2022-11-16-09:51:146,20146
236,Ms.,Lola,M.,McCarthy,,Closeout Boutique,adventure-works\\david8,lola0@adventure-works.com,173-555-0151,F,2022-11-16-09:51:147,20147
237,Ms.,Mary,K.,Browning,,Client Discount Store,adventure-works\\jillian0,mary5@adventure-works.com,658-555-0146,F,2022-11-16-09:51:148,20148
238,Ms.,Jodan,M.,Jacobson,,A Great Bicycle Company,adventure-works\\jillian0,jodan0@adventure-works.com,652-555-0189,F,2022-11-16-09:51:149,20149
239,Ms.,Jane,A.,McCarty,,Bicycle Merchandise Warehouse,adventure-works\\shu0,jane3@adventure-works.com,529-555-0195,F,2022-11-16-09:51:150,20150
240,Mr.,Jessie,E.,Valerio,,Wire Baskets and Parts,adventure-works\\linda3,jessie0@adventure-works.com,103-555-0179,F,2022-11-16-09:51:151,20151
241,Mr.,Eric,A.,Jacobsen,,Vale Riding Supplies,adventure-works\\shu0,eric5@adventure-works.com,703-555-0120,F,2022-11-16-09:51:152,20152
244,Mr.,Bronson,R.,Jacobs,,Retail Discount Store,adventure-works\\josé1,bronson0@adventure-works.com,697-555-0131,F,2022-11-16-09:51:153,20153
245,Mr.,James,L.,McCoy,II,Leather Seat Factory,adventure-works\\josé1,james12@adventure-works.com,191-555-0151,F,2022-11-16-09:51:154,20154
246,Ms.,Esther,K.,Valle,,Large Bike Shop,adventure-works\\garrett1,esther0@adventure-works.com,481-555-0131,F,2022-11-16-09:51:155,20155
250,Ms.,Denean,J.,Ison,,Express Bike Services,adventure-works\\jae0,denean0@adventure-works.com,1 (11) 500 555-0127,F,2022-11-16-09:51:156,20156
253,Mr.,Erik,,Ismert,,Roving Sports,adventure-works\\pamela0,erik0@adventure-works.com,116-555-0163,F,2022-11-16-09:51:157,20157
254,Mr.,Robert,M.,Bernacchi,,Safe Cycles Shop,adventure-works\\david8,robert4@adventure-works.com,449-555-0176,F,2022-11-16-09:51:158,20158
255,Mr.,Sunil,,Uppal,,Swift Cycles,adventure-works\\jillian0,sunil0@adventure-works.com,184-555-0187,F,2022-11-16-09:51:159,20159
256,Mr.,Richard,L.,Irwin,,Rental Bikes,adventure-works\\jillian0,richard4@adventure-works.com,367-555-0124,F,2022-11-16-09:51:160,20160
257,Mr.,Matthias,,Berndt,,Number 1 Supply,adventure-works\\shu0,matthias1@adventure-works.com,384-555-0169,F,2022-11-16-09:51:161,20161
258,Mr.,Sairaj,,Uddin,,Quantity Discounts,adventure-works\\linda3,sairaj1@adventure-works.com,767-555-0193,F,2022-11-16-09:51:162,20162
259,Mr.,Lucio,,Iallo,,Highway Bike Shop,adventure-works\\shu0,lucio0@adventure-works.com,199-555-0135,F,2022-11-16-09:51:163,20163
262,Ms.,Beth,,Inghram,,General Industries,adventure-works\\josé1,beth0@adventure-works.com,718-555-0152,F,2022-11-16-09:51:164,20164
263,Mr.,Timothy,B.,Burnett,Jr.,Farthest Bike Store,adventure-works\\josé1,timothy0@adventure-works.com,251-555-0172,F,2022-11-16-09:51:165,20165
264,Ms.,Phyllis,B.,Tuffield,,Fasteners & Bolts Outlet,adventure-works\\garrett1,phyllis3@adventure-works.com,277-555-0182,F,2022-11-16-09:51:166,20166
268,Mr.,Richard,A.,Byham,,Channel Outlet,adventure-works\\jae0,richard2@adventure-works.com,1 (11) 500 555-0138,F,2022-11-16-09:51:167,20167
271,Mr.,Jared,L.,Bustamante,,Alternative Vehicles,adventure-works\\pamela0,jared0@adventure-works.com,164-555-0147,F,2022-11-16-09:51:168,20168
272,Mr.,Henry,L.,Campen,,Metro Cycle Shop,adventure-works\\david8,henry0@adventure-works.com,635-555-0126,F,2022-11-16-09:51:169,20169
273,Ms.,Christie,J.,Trujillo,,A Typical Bike Shop,adventure-works\\jillian0,christie0@adventure-works.com,686-555-0180,F,2022-11-16-09:51:170,20170
274,Ms.,Janet,J.,Gilliat,,Active Systems,adventure-works\\jillian0,janet2@adventure-works.com,521-555-0183,F,2022-11-16-09:51:171,20171
275,Mr.,Chris,,Cannon,,Outdoor Sporting Goods,adventure-works\\shu0,chris5@adventure-works.com,118-555-0131,F,2022-11-16-09:51:172,20172
276,Mr.,Michael John,R.,Troyer,,Thrifty Parts and Sales,adventure-works\\linda3,michaeljohn0@adventure-works.com,308-555-0175,F,2022-11-16-09:51:173,20173
277,Mr.,Guy,,Gilbert,,The Bicycle Accessories Company,adventure-works\\shu0,guy0@adventure-works.com,583-555-0198,F,2022-11-16-09:51:174,20174
